"","tracts","est","ci_l","ci_h","p","pFDR"
"220","ak_IFOFL",0.020207537544493,-0.160759685306373,0.201174760395359,0.78026580671468,0.966917947956164
"221","FA_IFOFL",0.0189491815710544,-0.141772343450332,0.179670706592441,0.82350319354743,0.972522434836611
"222","MD_IFOFL",0.00276581207538314,-0.165497595179385,0.171029219330151,0.979669399741613,0.987263736173718
"223","RD_IFOFL",0.00404405995611667,-0.158829165562159,0.166917285474393,0.969259706217514,0.987263736173718
"224","AD_IFOFL",0.00460657332049736,-0.175737071717465,0.184950218358459,0.965475115247936,0.987263736173718
"225","smt_fa_IFOFL",-0.0281165513271513,-0.20754177131352,0.151308668659217,0.771764871274463,0.966917947956164
"226","smt_long_IFOFL",-0.0395125991602826,-0.21444535486633,0.135420156545764,0.633669704374645,0.957872808938416
"227","smt_md_IFOFL",-0.0198046553592154,-0.189996065031117,0.150386754312686,0.830731454484485,0.975124957859892
"228","smt_trans_IFOFL",0.0259440605708101,-0.146758121827297,0.198646242968917,0.836447719381526,0.977422054108749
"229","smt_mc_intra_IFOFL",0.0161124797624869,-0.159877930422758,0.192102889947731,0.854461779996277,0.98115068044221
"230","smt_mc_extramd_IFOFL",-0.0128592042596542,-0.185162240573836,0.159443832054528,0.880436642119549,0.985377541445192
"231","smt_mc_extratrans_IFOFL",-0.0122629845244729,-0.181466953562889,0.156940984513943,0.89401518283896,0.985377541445192
"232","smt_mc_diff_IFOFL",0.00931732601547253,-0.173077624487637,0.191712276518582,0.912016727451917,0.985377541445192
"233","awf_IFOFL",0.0295684222870159,-0.141457209004107,0.200594053578139,0.750546466209552,0.966917947956164
"234","radEAD_IFOFL",-0.0266181205844188,-0.210139621092514,0.156903379923676,0.411490809683194,0.882503885501808
"235","v_intra_IFOFR",0.0040591982529975,-0.174880183116431,0.182998579622426,0.965957919248232,0.987263736173718
"236","v_extra_IFOFR",-0.0914239083188867,-0.273360888267916,0.0905130716301423,0.354203228938195,0.838146970809389
"237","v_csf_IFOFR",-0.0347795754678916,-0.214535279222247,0.144976128286464,0.74721898820353,0.966917947956164
"238","micro_Rd_IFOFR",-0.0804380779682713,-0.250386868121972,0.0895107121854289,0.362435727742377,0.839299905648052
"239","micro_FA_IFOFR",0.00796572527909253,-0.171428745426493,0.187360195984678,0.93421790344117,0.985377541445192
"240","micro_Ax_IFOFR",-0.132589767163486,-0.31560423894545,0.0504247046184778,0.236218353157482,0.759332027216189
"241","micro_ADC_IFOFR",-0.0950948162142732,-0.270892192632418,0.0807025602038721,0.313454645049697,0.815230180321661
"242","Dax_intra_IFOFR",-0.115013979304075,-0.298231023833224,0.0682030652250734,0.278262172228535,0.790690325458133
"243","Dax_extra_IFOFR",-0.132207172996432,-0.315128862391849,0.050714516398984,0.208005963917494,0.758204579704685
"244","mk_IFOFR",0.00613355841370325,-0.168841122148555,0.181108238975962,0.939386978276057,0.985377541445192
"245","rk_IFOFR",-0.0290309535745432,-0.200553192272343,0.142491285123257,0.73169697660733,0.966917947956164
"246","ak_IFOFR",0.0575416044975986,-0.120238255539029,0.235321464534226,0.423798508671391,0.882503885501808
"247","FA_IFOFR",0.0360174341848505,-0.128425108176888,0.200459976546589,0.65942520937184,0.960328720443831
"248","MD_IFOFR",-0.029515075097239,-0.196799782008403,0.137769631813925,0.720448764181045,0.966917947956164
"249","RD_IFOFR",-0.0244396740730801,-0.188333282254294,0.139453934108134,0.761708299952248,0.966917947956164
"250","AD_IFOFR",-0.0322348364816278,-0.210399240053386,0.14592956709013,0.707709244356388,0.966917947956164
"251","smt_fa_IFOFR",0.0421660303106775,-0.137220048453123,0.221552109074478,0.520090503849315,0.923171333008865
"252","smt_long_IFOFR",-0.0445088656575499,-0.220024932147052,0.131007200831952,0.604498233355847,0.955250448053141
"253","smt_md_IFOFR",-0.0430573493242662,-0.21330605461847,0.127191355969937,0.600771065322599,0.955250448053141
"254","smt_trans_IFOFR",-0.047760656290434,-0.219861099866578,0.12433978728571,0.526337443338537,0.923171333008865
"255","smt_mc_intra_IFOFR",0.0405340493570182,-0.135407256218107,0.216475354932143,0.615401730957312,0.955250448053141
"256","smt_mc_extramd_IFOFR",-0.018903917793251,-0.190552405026722,0.15274456944022,0.813377927428359,0.969249652721409
"257","smt_mc_extratrans_IFOFR",-0.0220930748023593,-0.19069740868511,0.146511259080392,0.780142119351384,0.966917947956164
"258","smt_mc_diff_IFOFR",0.0149857487535294,-0.16832996611577,0.198301463622829,0.858736353259221,0.98115068044221
"259","awf_IFOFR",0.037625938452119,-0.133600505376602,0.20885238228084,0.653996895674858,0.960328720443831
"260","radEAD_IFOFR",-0.0115107669132043,-0.181255575210056,0.158234041383647,0.889332968645833,0.985377541445192
"261","v_intra_ILFL",0.024395064887498,-0.15591387255166,0.204704002326656,0.798524209868285,0.966917947956164
"262","v_extra_ILFL",-0.0983474974225188,-0.2808090560088,0.0841140611637629,0.293128640346069,0.796489845884834
"263","v_csf_ILFL",-0.0557425373734891,-0.235017911714438,0.12353283696746,0.612201579586015,0.955250448053141
"264","micro_Rd_ILFL",-0.101901943205868,-0.276429317979955,0.0726254315682185,0.241361974658595,0.765203889393516
"265","micro_FA_ILFL",0.0302624139949501,-0.150060331662905,0.210585159652805,0.758584878926976,0.966917947956164
"266","micro_Ax_ILFL",-0.136607357983866,-0.31972030969047,0.0465055937227372,0.202448400792982,0.758204579704685
"267","micro_ADC_ILFL",-0.122139982035005,-0.301246624610385,0.0569666605403744,0.208542208381862,0.758204579704685
"268","Dax_intra_ILFL",-0.134965513231373,-0.318219156672764,0.048288130210018,0.182906603984353,0.751563561961766
"269","Dax_extra_ILFL",-0.147742246070225,-0.330879096168207,0.0353946040277565,0.150356513604133,0.751538873747432
"270","mk_ILFL",0.0294524629017254,-0.148685292132494,0.207590217935945,0.710877951516312,0.966917947956164
"271","rk_ILFL",-0.019951871153044,-0.193573120365375,0.153669378059287,0.817311630379004,0.970324310039
"272","ak_ILFL",0.0274441567552232,-0.15418000172475,0.209068315235197,0.695878484045979,0.966917947956164
"273","FA_ILFL",0.0153731537382813,-0.150466874021448,0.18121318149801,0.856702126581792,0.98115068044221
"274","MD_ILFL",-0.064075223661592,-0.238008099779829,0.109857652456645,0.465592762589675,0.901651218028642
"275","RD_ILFL",-0.0376149736041207,-0.206622281117109,0.131392333908868,0.661526165550671,0.960328720443831
"276","AD_ILFL",-0.0999945958848015,-0.282229307764378,0.0822401159947754,0.265237214834713,0.786687657405068
"277","smt_fa_ILFL",0.0553506189375841,-0.123948527828791,0.234649765703959,0.451458252637865,0.899457055063947
"278","smt_long_ILFL",-0.0477630094465434,-0.227842911026682,0.132316892133595,0.577406983424693,0.955250448053141
"279","smt_md_ILFL",-0.0689069049717351,-0.24588398814126,0.10807017819779,0.415174562311296,0.882503885501808
"280","smt_trans_ILFL",-0.0918812909497325,-0.266612091876256,0.0828495099767906,0.244880959227505,0.765203889393516
"281","smt_mc_intra_ILFL",0.0665070781075928,-0.111606101787349,0.244620258002535,0.426352814079125,0.883249674497441
"282","smt_mc_extramd_ILFL",-0.0349470666435901,-0.212860714960806,0.142966581673626,0.661495116813752,0.960328720443831
"283","smt_mc_extratrans_ILFL",-0.0594905076362452,-0.234374830832257,0.115393815559766,0.46872759444986,0.901651218028642
"284","smt_mc_diff_ILFL",0.0309388390847033,-0.152305206067266,0.214182884236673,0.712415776687288,0.966917947956164
"285","awf_ILFL",0.0812429475618849,-0.0935140388948937,0.255999934018664,0.348844379941178,0.838146970809389
"286","radEAD_ILFL",-0.0459846074316322,-0.229259918613378,0.137290703750114,0.0978754632051752,0.661545458462323
"287","v_intra_ILFR",0.0473446862168177,-0.133014202552161,0.227703574985797,0.613920351779511,0.955250448053141
"288","v_extra_ILFR",-0.127817967756645,-0.310027400839949,0.0543914653266583,0.197692867537557,0.758204579704685
"289","v_csf_ILFR",-0.0321475743787422,-0.212229777676701,0.147934628919216,0.771919915490227,0.966917947956164
"290","micro_Rd_ILFR",-0.1395473395007,-0.316667202794337,0.0375725237929374,0.1297571909178,0.749708214191734
"291","micro_FA_ILFR",0.0432271350322786,-0.137580601365781,0.224034871430339,0.653889858079931,0.960328720443831
"292","micro_Ax_ILFR",-0.103167232989297,-0.286357507936668,0.0800230419580746,0.33077121120645,0.838146970809389
"293","micro_ADC_ILFR",-0.126365885150311,-0.307230045910609,0.054498275609987,0.195453484774452,0.758204579704685
"294","Dax_intra_ILFR",-0.125184727091062,-0.308440377336626,0.0580709231545017,0.229749291941737,0.758204579704685
"295","Dax_extra_ILFR",-0.132384396136282,-0.315690119785892,0.0509213275133283,0.20619976829285,0.758204579704685
"296","mk_ILFR",0.05604624788308,-0.123073053584749,0.235165549350909,0.469481985692953,0.901651218028642
"297","rk_ILFR",0.038356213040612,-0.136736290529042,0.213448716610266,0.655163142439087,0.960328720443831
"298","ak_ILFR",0.0617971988229522,-0.120605855336911,0.244200252982815,0.36603574186814,0.839299905648052
"299","FA_ILFR",0.107534101149392,-0.0606696015258358,0.275737803824619,0.23002124672339,0.758204579704685
"300","MD_ILFR",-0.087065483361956,-0.264521512444707,0.0903905457207947,0.333744963461926,0.838146970809389
"301","RD_ILFR",-0.0979791604136139,-0.270937019060582,0.0749786982333544,0.272547210139468,0.787358607069573
"302","AD_ILFR",-0.0463206903902553,-0.229457230567382,0.136815849786871,0.606657365275982,0.955250448053141
"303","smt_fa_ILFR",0.0255749941439094,-0.154194323685489,0.205344311973308,0.753105423751554,0.966917947956164
"304","smt_long_ILFR",-0.0446730673329478,-0.226988460320996,0.1376423256551,0.628353008128156,0.957872808938416
"305","smt_md_ILFR",-0.0575506326743274,-0.23740997691484,0.122308711566185,0.544705390942968,0.936941319687657
"306","smt_trans_ILFR",-0.0603320147536235,-0.235946866371402,0.115282836864155,0.514090183513275,0.923171333008865
"307","smt_mc_intra_ILFR",0.0658632825113379,-0.112398610888859,0.244125175911534,0.428036380717991,0.883249674497441
"308","smt_mc_extramd_ILFR",-0.0229310126524584,-0.203827317191759,0.157965291886843,0.795291674461829,0.966917947956164
"309","smt_mc_extratrans_ILFR",-0.0485687879773826,-0.225331962621934,0.128194386667169,0.590710814821833,0.955250448053141
"310","smt_mc_diff_ILFR",0.0266294400134995,-0.156711290292055,0.209970170319054,0.740475072384397,0.966917947956164
"311","awf_ILFR",0.104411624654905,-0.0706140187705844,0.279437268080394,0.220645480005332,0.758204579704685
"312","radEAD_ILFR",-0.0812132327732488,-0.260141935156762,0.0977154696102644,0.366386689580977,0.839299905648052
"313","v_intra_SLFL",0.00402078344162656,-0.175645368959155,0.183686935842408,0.967077395344601,0.987263736173718
"314","v_extra_SLFL",-0.103713909834025,-0.284515591584758,0.0770877719167088,0.26546822200542,0.786687657405068
"315","v_csf_SLFL",-0.0505015822350557,-0.230131649903737,0.129128485433625,0.63344391491653,0.957872808938416
"316","micro_Rd_SLFL",-0.0470284180148128,-0.219796561240857,0.125739725211232,0.662996174306414,0.960328720443831
"317","micro_FA_SLFL",0.0204379335165685,-0.159719253209196,0.200595120242333,0.834728246823545,0.977422054108749
"318","micro_Ax_SLFL",-0.129978323502216,-0.313340186555162,0.0533835395507308,0.218554449618942,0.758204579704685
